Invoice_ID,Order_Date,Ship_Date,Order_Status,Payment_Method,Quantity_Sold,Unit_Price,Discount_Percent,Tax_Amount,Total_Sale_Amount
INV-20250501-4896,2025-05-15,2025-05-21,Pending,Credit Card,14,759,19,602.49,9209.55
INV-20250511-1797,2025-04-30,2025-05-05,Pending,UPI,14,152,29,105.76,1616.64
INV-20240514-6681,2023-12-23,2023-12-29,Completed,Credit Card,1,860,15,51.17,782.17
INV-20250425-3479,2024-02-23,2024-02-24,Completed,Cash,20,306,21,338.44,5173.24
INV-20240416-9540,2024-05-18,2024-05-24,Pending,UPI,16,815,11,812.39,12417.99
INV-20240523-8077,2024-03-14,2024-03-15,Completed,Credit Card,13,251,13,198.72,3037.53
INV-20231007-7742,2024-09-19,2024-09-26,Completed,Credit Card,12,447,26,277.86,4247.22
INV-20250602-6539,2025-06-02,2025-06-09,Returned,UPI,13,298,5,257.62,3937.92
INV-20231108-6096,2023-11-04,2023-11-07,Returned,Credit Card,8,757,6,398.48,6091.12
INV-20240703-4971,2025-03-30,2025-03-31,Pending,UPI,13,432,7,365.6,5588.48
INV-20240812-7798,2025-09-02,2025-09-04,Pending,Credit Card,12,377,16,266.01,4066.17
INV-20250402-4358,2025-10-01,2025-10-04,Completed,UPI,2,350,12,43.12,659.12
INV-20250814-8057,2025-06-20,2025-06-26,Pending,Credit Card,10,567,11,353.24,5399.54
INV-20250219-5947,2025-08-09,2025-08-16,Pending,Cash,14,491,26,356.07,5442.83
INV-20250305-1670,2025-04-27,2025-05-02,Returned,PayPal,5,360,6,118.44,1810.44
INV-20241119-9936,2024-05-07,2024-05-14,Pending,Credit Card,17,963,7,1065.75,16290.78
INV-20240409-2953,2025-08-05,2025-08-12,Completed,PayPal,7,982,7,447.5,6840.32
INV-20241027-5704,2024-06-27,2024-06-30,Returned,Credit Card,10,716,5,476.14,7278.14
INV-20240518-7066,2025-06-22,2025-06-24,Pending,PayPal,16,165,21,145.99,2231.59
INV-20240821-6351,2024-03-26,2024-03-31,Completed,UPI,5,861,4,289.3,4422.1
INV-20250612-9568,2025-04-02,2025-04-04,Returned,Cash,3,511,7,99.8,1525.49
INV-20250615-5346,2024-02-16,2024-02-22,Completed,PayPal,19,564,6,705.11,10778.15
INV-20250408-5305,2024-02-28,2024-03-05,Pending,Credit Card,8,606,1,335.97,5135.49
INV-20241126-7934,2024-06-12,2024-06-15,Pending,Cash,16,113,14,108.84,1663.72
INV-20240518-9906,2024-11-12,2024-11-17,Returned,PayPal,9,233,19,118.9,1817.47
INV-20240805-8183,2024-05-23,2024-05-25,Completed,PayPal,19,550,6,687.61,10510.61
INV-20240315-7882,2024-06-13,2024-06-19,Completed,UPI,14,1000,11,872.2,13332.2
INV-20241021-5442,2024-05-16,2024-05-22,Completed,Cash,16,527,3,572.53,8751.57
INV-20240721-2583,2024-02-09,2024-02-16,Pending,Cash,8,740,12,364.67,5574.27
INV-20240708-3954,2025-06-30,2025-07-01,Completed,UPI,16,145,22,126.67,1936.27
INV-20250124-3582,2025-08-27,2025-08-28,Completed,UPI,9,485,26,226.11,3456.21
INV-20240201-9085,2024-06-22,2024-06-24,Returned,Cash,3,660,18,113.65,1737.25
INV-20241001-5651,2025-09-15,2025-09-20,Returned,UPI,5,698,20,195.44,2987.44
INV-20240220-9895,2023-12-12,2023-12-15,Completed,Cash,10,592,20,331.52,5067.52
INV-20241119-3448,2025-03-17,2025-03-20,Pending,UPI,10,567,12,349.27,5338.87
INV-20250609-8586,2024-11-14,2024-11-20,Returned,PayPal,13,412,27,273.69,4183.57
INV-20240211-3975,2024-04-10,2024-04-11,Returned,UPI,13,500,26,336.7,5146.7
INV-20240227-2290,2024-11-24,2024-11-28,Pending,Credit Card,18,544,10,616.9,9429.7
INV-20250514-8245,2025-05-19,2025-05-23,Completed,Credit Card,3,381,4,76.81,1174.09
INV-20240709-9560,2024-08-14,2024-08-17,Completed,PayPal,18,843,10,955.96,14612.56
INV-20240131-7567,2024-05-07,2024-05-11,Pending,Credit Card,14,557,28,393.02,6007.58
INV-20240601-3622,2025-03-18,2025-03-25,Pending,UPI,6,791,24,252.49,3859.45
INV-20240226-1446,2023-12-14,2023-12-16,Pending,Credit Card,10,847,19,480.25,7340.95
INV-20250929-9817,2025-07-10,2025-07-12,Completed,PayPal,1,249,17,14.47,221.14
INV-20250207-8452,2025-09-15,2025-09-19,Returned,UPI,19,583,23,597.05,9126.34
INV-20240209-1610,2023-11-30,2023-12-01,Pending,PayPal,16,148,26,122.66,1874.98
INV-20241120-1940,2024-12-22,2024-12-23,Returned,Cash,4,318,19,72.12,1102.44
INV-20250428-7194,2025-01-12,2025-01-15,Completed,PayPal,17,624,25,556.92,8512.92
INV-20250421-4790,2024-07-30,2024-08-01,Returned,PayPal,8,103,10,51.91,793.51
INV-20250925-4646,2024-03-28,2024-04-04,Pending,PayPal,1,888,6,58.43,893.15
INV-20240925-6779,2025-03-23,2025-03-30,Completed,Cash,17,593,8,649.22,9923.74
INV-20250529-7629,2023-10-06,2023-10-11,Returned,Credit Card,8,282,9,143.71,2196.67
INV-20231203-1627,2024-07-29,2024-08-05,Completed,UPI,11,561,8,397.41,6074.73
INV-20240309-4054,2024-07-21,2024-07-28,Completed,Cash,15,175,11,163.54,2499.79
INV-20250605-8359,2025-09-05,2025-09-12,Completed,Credit Card,20,887,28,894.1,13666.9
INV-20240408-7332,2025-04-14,2025-04-15,Returned,PayPal,6,794,22,260.11,3976.03
INV-20241008-3315,2024-06-15,2024-06-17,Pending,UPI,9,854,28,387.37,5921.29
INV-20240613-1139,2024-11-27,2024-11-30,Returned,UPI,19,385,11,455.72,6966.07
INV-20250620-5328,2025-08-18,2025-08-22,Completed,UPI,18,517,9,592.79,9061.25
INV-20240130-8623,2024-04-30,2024-05-07,Completed,PayPal,17,379,22,351.79,5377.33
INV-20240617-4623,2024-11-08,2024-11-13,Pending,PayPal,1,809,0,56.63,865.63
INV-20241211-6849,2024-05-20,2024-05-23,Returned,Credit Card,15,556,15,496.23,7585.23
INV-20231020-7968,2023-12-23,2023-12-24,Returned,UPI,9,987,17,516.1,7888.99
INV-20240717-5961,2024-08-20,2024-08-25,Completed,UPI,4,210,29,41.75,638.15
INV-20240321-4357,2024-03-11,2024-03-13,Returned,Cash,20,958,27,979.08,14965.88
INV-20231227-5399,2025-06-28,2025-06-29,Returned,UPI,2,299,8,38.51,588.67
INV-20240322-2698,2024-12-09,2024-12-14,Pending,Credit Card,8,606,10,305.42,4668.62
INV-20240124-1536,2024-12-01,2024-12-04,Pending,Cash,16,353,3,383.5,5862.06
INV-20240716-9619,2024-06-01,2024-06-04,Returned,Cash,1,957,17,55.6,849.91
INV-20240123-4933,2025-06-17,2025-06-18,Returned,PayPal,6,410,8,158.42,2421.62
INV-20240109-6259,2024-01-24,2024-01-28,Returned,PayPal,8,320,6,168.45,2574.85
INV-20250524-5921,2025-09-22,2025-09-24,Returned,PayPal,3,995,20,167.16,2555.16
INV-20231110-5678,2024-11-24,2024-11-30,Returned,Credit Card,18,969,28,879.08,13437.32
INV-20240919-3492,2024-08-26,2024-08-30,Returned,Credit Card,3,773,22,126.62,1935.44
INV-20240729-5596,2023-12-24,2023-12-26,Returned,UPI,16,144,24,122.57,1873.61
INV-20250327-2713,2025-04-11,2025-04-15,Completed,PayPal,17,632,26,556.54,8507.1
INV-20240518-2252,2024-10-27,2024-11-01,Pending,Credit Card,9,219,8,126.93,1940.25
INV-20240412-3804,2024-10-10,2024-10-12,Completed,Cash,16,195,17,181.27,2770.87
INV-20250906-2735,2024-07-11,2024-07-16,Pending,PayPal,12,505,16,356.33,5446.73
INV-20241227-7547,2024-02-17,2024-02-21,Completed,UPI,15,164,30,120.54,1842.54
INV-20241104-9144,2024-06-11,2024-06-18,Completed,Credit Card,14,194,4,182.52,2789.88
INV-20240828-1096,2024-09-15,2024-09-17,Pending,UPI,12,285,1,237.01,3622.81
INV-20250921-1494,2024-07-27,2024-07-28,Returned,PayPal,20,873,6,1148.87,17561.27
INV-20250124-4497,2025-06-12,2025-06-15,Returned,UPI,17,317,24,286.69,4382.33
INV-20250604-8805,2024-04-13,2024-04-14,Returned,UPI,19,621,4,792.89,12119.93
INV-20240317-8868,2025-04-13,2025-04-15,Pending,PayPal,10,442,9,281.55,4303.75
INV-20231129-4326,2024-09-05,2024-09-08,Completed,Cash,20,348,0,487.2,7447.2
INV-20250520-4173,2025-02-04,2025-02-09,Pending,Credit Card,7,960,7,437.47,6687.07
INV-20240509-7511,2024-01-15,2024-01-20,Pending,PayPal,6,325,7,126.95,1940.45
INV-20250924-6837,2025-07-20,2025-07-26,Pending,Credit Card,18,648,28,587.87,8985.95
INV-20231124-3424,2024-02-29,2024-03-02,Pending,Cash,7,997,13,425.02,6496.75
INV-20241010-3369,2025-09-04,2025-09-09,Returned,UPI,16,139,29,110.53,1689.57
INV-20240213-4802,2024-10-06,2024-10-09,Completed,PayPal,11,471,8,333.66,5100.18
INV-20250527-7245,2024-11-24,2024-11-25,Completed,Credit Card,1,183,24,9.74,148.82
INV-20240615-6358,2024-11-04,2024-11-08,Completed,Credit Card,9,860,21,428.02,6542.62
INV-20241222-9129,2024-09-18,2024-09-22,Returned,Credit Card,17,751,3,866.88,13250.87
INV-20250413-6239,2024-12-13,2024-12-18,Pending,Credit Card,16,362,30,283.81,4338.21
INV-20240724-4754,2025-07-27,2025-07-29,Pending,Credit Card,17,705,20,671.16,10259.16
INV-20241008-1984,2025-02-10,2025-02-13,Returned,UPI,5,272,5,90.44,1382.44
INV-20250109-4612,2024-04-01,2024-04-02,Returned,PayPal,6,376,8,145.29,2220.81
INV-20231105-8895,2023-11-19,2023-11-25,Completed,PayPal,11,634,27,356.37,5447.39
INV-20250405-2059,2025-05-02,2025-05-08,Completed,UPI,12,828,23,535.55,8186.27
INV-20241025-8854,2025-06-24,2025-06-26,Pending,Credit Card,11,889,13,595.54,9103.27
INV-20250117-8535,2024-08-17,2024-08-19,Returned,PayPal,17,721,12,755.03,11541.19
INV-20240901-7792,2025-04-14,2025-04-17,Completed,UPI,7,200,24,74.48,1138.48
INV-20240611-5836,2024-07-04,2024-07-06,Returned,UPI,7,677,20,265.38,4056.58
INV-20241225-5068,2025-04-11,2025-04-15,Returned,Cash,19,616,27,598.07,9141.99
INV-20240701-8380,2025-06-19,2025-06-25,Completed,PayPal,15,301,26,233.88,3574.98
INV-20250212-5025,2024-03-28,2024-03-30,Completed,Credit Card,3,587,30,86.29,1318.99
INV-20250306-5658,2024-10-15,2024-10-20,Completed,UPI,1,285,18,16.36,250.06
INV-20250330-8162,2025-08-17,2025-08-23,Completed,Credit Card,4,596,7,155.2,2372.32
INV-20250131-8912,2024-07-17,2024-07-21,Pending,UPI,3,885,20,148.68,2272.68
INV-20240109-1311,2024-09-01,2024-09-04,Pending,PayPal,5,653,24,173.7,2655.1
INV-20250505-7844,2024-01-02,2024-01-03,Completed,Credit Card,2,487,0,68.18,1042.18
INV-20240601-3479,2025-04-14,2025-04-21,Completed,Credit Card,13,901,13,713.32,10903.63
INV-20231125-8569,2023-12-30,2024-01-06,Completed,UPI,14,320,29,222.66,3403.46
INV-20250125-5996,2024-10-20,2024-10-25,Returned,Credit Card,20,125,8,161.0,2461.0
INV-20240216-5029,2025-07-15,2025-07-16,Returned,Cash,20,392,26,406.11,6207.71
INV-20250514-2125,2024-08-03,2024-08-05,Pending,UPI,13,120,17,90.64,1385.44
INV-20250603-8873,2025-06-14,2025-06-18,Pending,PayPal,6,289,13,105.6,1614.18
